,type,area,bed,bath,toilet,price
652,flat / apartment,Ikoyi,3 ,3 ,4 ,150000000
653,flat / apartment,Ikoyi,3 ,3 ,4 ,70000
654,terraced duplex,Ikoyi,3 ,3 ,4 ,13000000
655,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
656,flat / apartment,Lawanson,2 ,2 ,2 ,600000
657,semi detached duplex,Ikoyi,4 ,4 ,5 ,9000000
658,flat / apartment,Lekki,3 ,3 ,4 ,4500000
659,flat / apartment,Ikoyi,3 ,3 ,4 ,8500000
660,flat / apartment,Lekki,1 ,1 ,2 ,1000000
661,detached duplex,Lekki,4 ,5 ,6 ,5500000
662,flat / apartment,Ladipo,3 ,3 ,4 ,2500000
663,flat / apartment,Ikoyi,4 ,4 ,5 ,10000000
664,flat / apartment,Ikoyi,3 ,3 ,4 ,6500000
665,flat / apartment,Victoria Island,3 ,3 ,3 ,8000000
666,flat / apartment,Ikoyi,3 ,3 ,3 ,12500000
667,flat / apartment,Ikoyi,4 ,4 ,4 ,12000000
668,flat / apartment,Ikoyi,3 ,3 ,3 ,18000000
669,terraced duplex,Ogudu,4 ,4 ,5 ,3200000
670,flat / apartment,Ogba,3 ,,,1000000
671,flat / apartment,Gbagada,4 ,,,2800000
672,detached duplex,Sabo,,4 ,,4000000
673,terraced bungalow,Gbagada,3 ,3 ,3 ,1000000
674,detached duplex,Lekki,4 ,4 ,5 ,4000000
675,flat / apartment,Kosofe,5 ,,,4000000
676,detached duplex,Kosofe,5 ,5 ,6 ,4500000
677,flat / apartment,Oniru,3 ,3 ,4 ,4000000
678,flat / apartment,Ikoyi,3 ,,,13000000
679,semi detached duplex,Gbagada,,4 ,,2500000
680,flat / apartment,Gbagada,,,,700000
681,flat / apartment,Ikoyi,4 ,4 ,5 ,30000000
682,terraced duplex,Ikoyi,4 ,4 ,5 ,7000000
683,flat / apartment,Victoria Island,3 ,3 ,3 ,10000000
684,shop,Ikeja,,,,400000
685,flat / apartment,Ikoyi,3 ,3 ,4 ,12500000
686,terraced duplex,Ikoyi,4 ,4 ,5 ,5500000
687,semi detached duplex,Ikoyi,5 ,5 ,5 ,9000000
688,flat / apartment,Lekki,3 ,3 ,4 ,5000000
689,flat / apartment,Ikoyi,3 ,3 ,4 ,9000000
690,detached duplex,Lekki,5 ,5 ,5 ,4000000
691,flat / apartment,Shomolu,2 ,,,700000
692,detached duplex,Dolphin Estate,4 ,5 ,6 ,7000000
693,detached bungalow,Lekki,5 ,5 ,6 ,12000000
694,flat / apartment,Gbagada,3 ,3 ,4 ,1500000
695,flat / apartment,Gbagada,3 ,,,1100000
696,flat / apartment,Shomolu,3 ,,,1200000
697,flat / apartment,Ikoyi,3 ,3 ,3 ,6000000
