,title,address,date_added,bed,bath,toilet,price
581,3 BEDROOM FLAT / APARTMENT FOR RENT,...Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",3 beds,3 baths,4 Toilets,"12,000,000"
582,4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE,Off Adelabu Surulere Lagos,"Updated 17 Nov 2020, Added 16 Oct 2020",4 beds,5 baths,5 Toilets,"67,000,000"
583,3 BEDROOM FLAT / APARTMENT FOR RENT,Sam Shonibare Estate Ogunlana Surulere Lagos,"Updated 17 Nov 2020, Added 30 Oct 2020",3 beds,2 baths,2 Toilets,"1,500,000"
584,5 BEDROOM HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 15 Sep 2020",5 beds,5 baths,5 Toilets,"8,000,000"
585,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 15 Oct 2020",4 beds,4 baths,5 Toilets,"20,000,000"
586,2 BEDROOM FLAT / APARTMENT FOR RENT,Lagoshoms EstateIgando Ikotun Igando Lagos,"Updated 17 Nov 2020, Added 07 Oct 2020",2 beds,0 baths,0 Toilets,"600,000"
587,3 BEDROOM FLAT / APARTMENT FOR RENT,-Osapa London Lekki Lagos,"Updated 17 Nov 2020, Added 07 Sep 2020",3 beds,3 baths,4 Toilets,"2,200,000"
588,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Banana Island RoadBanana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 20 Oct 2020",5 beds,5 baths,6 Toilets,"8,000,000"
589,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 10 Jul 2020",3 beds,3 baths,4 Toilets,"100,000"
590,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 05 Feb 2020",3 beds,3 baths,4 Toilets,"13,500,000"
591,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 09 Nov 2020",1 beds,1 baths,1 Toilets,"2,250,000"
592,4 BEDROOM MASSIONETTE HOUSE FOR RENT,2nd Toll Gate AxisLekki Lagos,"Updated 17 Nov 2020, Added 13 Jun 2020",4 beds,4 baths,5 Toilets,"45,000,000"
593,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikate RightIkate Lekki Lagos,"Updated 17 Nov 2020, Added 28 Aug 2020",5 beds,5 baths,6 Toilets,"10,000,000"
594,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
595,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 14 Feb 2020",3 beds,4 baths,4 Toilets,"5,000,000"
596,2 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 15 May 2020",2 beds,2 baths,3 Toilets,"6,000,000"
597,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,ilasan Lekki Lagos,"Updated 17 Nov 2020, Added 14 Sep 2020",4 beds,4 baths,5 Toilets,"3,500,000"
598,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 17 Aug 2020",3 beds,3 baths,4 Toilets,"4,500,000"
599,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 23 Oct 2020",3 beds,3 baths,4 Toilets,"15,000,000"
600,4 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 30 Oct 2019",4 beds,5 baths,5 Toilets,"7,500,000"
601,2 BEDROOM FLAT / APARTMENT FOR RENT,"Hilltop Estate, Aboru Iyana Ipaja Ipaja Lagos","Updated 17 Nov 2020, Added 07 Oct 2020",2 beds,2 baths,3 Toilets,"350,000"
602,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 06 Jun 2020",4 beds,4 baths,5 Toilets,"10,000,000"
603,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,"Behold Homes, Orchid Road, unit OLekki Lagos","Updated 17 Nov 2020, Added 13 Jun 2020",4 beds,4 baths,5 Toilets,"3,000,000"
604,3 BEDROOM FLAT / APARTMENT FOR SALE,Yaba Gra Abule-Oja Yaba Lagos,"Updated 17 Nov 2020, Added 15 Mar 2020",3 beds,3 baths,4 Toilets,"45,000,000"
605,2 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 02 Sep 2020",2 beds,2 baths,3 Toilets,"7,500,000"
606,2 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 04 Aug 2020",2 beds,2 baths,3 Toilets,"18,000,000"
607,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 14 Oct 2019",3 beds,4 baths,4 Toilets,"5,000,000"
608,5 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 08 Aug 2019",5 beds,5 baths,6 Toilets,"15,000,000"
609,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 28 Sep 2020",4 beds,4 baths,5 Toilets,"4,000,000"
