,title,address,date_added,bedroom,bathroom,toilet,parking_space,price
272,3 bedroom flat for rent,"Oniru, Victoria Island (VI), Lagos",Added on 05 Nov 2020,1,3,3,3,4000000.00
273,Self contained (single rooms) for rent,"Badore, Ajah, Lagos",Added on 05 Nov 2020,2,3,1,2,300000.00
274,4 bedroom flat for rent,"Off Sanusi Fafunwa Street, Victoria Island Extension, Victoria Island (VI), Lagos",Added on 05 Nov 2020,3,3,2,2,5000000.00
275,3 bedroom flat for rent,"Ikoyi, Lagos",Added on 05 Nov 2020,3,4,1,3,25000000.00
276,3 bedroom flat for rent,"Kasunla, Ikate, Lekki, Lagos",Added on 05 Nov 2020,2,1,2,3,1700000.00
277,1 bedroom flat for rent,"Lakowe Phase 2, Lakowe, Ibeju Lekki, Lagos",Added on 05 Nov 2020,4,1,1,1,270000.00
278,2 bedroom flat for rent,"New Road, Awoyaya, Ibeju Lekki, Lagos",Added on 05 Nov 2020,3,4,4,1,800000.00
279,1 bedroom flat for rent,"Badore, Ajah, Lagos",Added on 05 Nov 2020,2,1,3,5,250000.00
280,1 bedroom flat for rent,"Cooperative Villa Estate, Badore, Ajah, Lagos",Added on 05 Nov 2020,4,3,4,1,200000.00
281,1 bedroom mini flat for rent,"Agungi, Lekki, Lagos",Added on 05 Nov 2020,2,3,4,1,1200000.00
282,3 bedroom flat for rent,"Off Brown Road, Aguda, Surulere, Lagos",Added on 05 Nov 2020,3,3,4,1,1500000.00
283,3 bedroom flat for rent,"Osapa, Lekki, Lagos",Added on 05 Nov 2020,1,1,1,2,2200000.00
284,3 bedroom flat for rent,"Agungi, Lekki, Lagos",Added on 05 Nov 2020,4,1,1,1,2500000.00
